"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","ENG","Name_en","X","ID"
"13",3,26,1,2,3,5,"GB",2,3,4,3,1,2,1,2,1,1,2,2,1,2,5,2,4,4,4,4,4,2,4,2,4,5,4,4,2,3,4,5,5,5,4,4,5,5,5,4,4,5,4,4,4,4,5,3,2,2,"ENG","United Kingdom of Great Britain and Northern Ireland",13,"13"
"14",3,26,1,2,1,1,"US",2,4,3,3,3,3,1,3,3,3,2,4,3,1,3,4,4,4,2,2,5,3,4,4,3,2,3,3,4,4,1,4,5,4,2,5,4,4,2,2,4,4,5,4,2,5,5,3,4,4,"ENG","United States of America",14,"14"
"15",11,29,2,2,1,1,"US",2,3,4,4,4,5,3,2,2,3,5,2,4,3,4,5,4,5,4,4,4,4,3,3,5,2,4,4,2,3,4,3,5,5,4,4,4,5,3,4,5,5,4,5,4,5,5,4,4,4,"ENG","United States of America",15,"15"
"16",3,29,1,2,1,2,"US",2,3,1,2,2,2,1,3,3,2,3,3,1,2,3,3,2,3,3,3,5,4,5,4,4,4,3,5,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,3,4,4,3,4,5,3,"ENG","United States of America",16,"16"
"17",3,21,1,1,2,2,"CA",3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,4,4,4,4,4,5,4,4,4,4,5,4,4,4,3,3,2,5,3,2,2,3,4,4,3,3,4,4,4,4,4,5,2,5,3,"ENG","Canada",17,"17"
"18",3,52,1,2,1,1,"US",3,2,4,2,2,3,3,3,4,1,2,4,2,3,4,4,3,4,5,3,5,4,5,5,3,3,3,3,4,4,3,1,4,3,1,1,4,2,2,4,4,3,4,2,4,4,4,4,5,4,"ENG","United States of America",18,"18"
"19",3,48,1,1,1,2,"US",5,1,4,5,5,5,5,5,5,4,3,4,2,5,3,3,2,3,3,4,2,5,2,4,2,4,5,2,4,5,2,1,2,1,1,1,3,3,5,5,4,5,5,5,5,5,4,4,2,5,"ENG","United States of America",19,"19"
"20",3,22,1,1,1,4,"US",3,3,4,3,2,4,3,2,2,2,2,3,2,3,4,4,3,3,4,4,5,2,5,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,4,3,2,4,3,"ENG","United States of America",20,"20"
"21",1,17,1,2,1,1,"US",2,2,3,2,2,4,4,1,1,1,1,4,1,1,3,2,1,2,2,2,3,5,1,4,5,5,5,4,2,3,2,1,3,2,1,4,2,1,3,1,4,3,3,5,4,4,3,3,5,5,"ENG","United States of America",21,"21"
"22",1,19,1,2,1,1,"US",4,4,1,1,4,5,3,3,1,1,2,4,1,2,4,2,2,3,2,2,4,5,2,5,4,5,4,4,5,4,1,5,3,1,1,2,3,5,1,3,3,3,5,3,3,5,3,3,3,5,"ENG","United States of America",22,"22"
"23",3,22,1,2,1,1,"US",2,3,3,2,3,4,4,1,2,2,1,3,1,2,4,4,3,4,3,3,4,3,4,4,3,3,3,4,5,5,3,2,5,3,2,4,3,3,3,3,4,5,5,5,4,4,5,3,5,5,"ENG","United States of America",23,"23"
"24",3,25,1,1,2,4,"US",4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,"ENG","United States of America",24,"24"
"25",3,20,1,2,1,1,"US",5,4,4,5,5,5,5,5,5,3,2,3,2,1,5,2,1,1,2,2,5,5,2,4,5,5,5,5,5,4,2,1,1,2,1,1,1,5,1,1,5,5,4,5,4,5,4,5,5,4,"ENG","United States of America",25,"25"
"26",3,15,1,2,2,1,"GB",1,2,3,2,3,3,1,1,1,1,3,3,2,3,5,3,2,4,2,2,2,3,3,3,3,5,1,3,3,3,2,1,3,1,1,2,3,1,2,3,2,3,4,3,2,3,3,1,3,3,"ENG","United Kingdom of Great Britain and Northern Ireland",26,"26"
"27",3,46,1,2,2,3,"US",1,4,3,3,3,5,1,2,2,3,2,2,1,1,2,1,2,2,3,1,5,3,5,5,3,4,2,2,5,3,5,4,5,5,2,5,5,5,4,5,5,5,4,3,3,4,5,5,5,3,"ENG","United States of America",27,"27"
"28",3,15,1,1,1,1,"GB",1,1,2,1,2,4,2,3,4,1,5,4,2,2,4,4,4,4,4,2,5,5,2,5,4,5,4,5,5,1,5,5,5,1,2,4,5,4,2,5,5,2,5,5,5,5,5,5,2,5,"ENG","United Kingdom of Great Britain and Northern Ireland",28,"28"
"29",3,18,1,2,2,2,"US",2,3,3,3,4,5,1,3,1,3,4,4,3,2,3,4,2,3,4,2,5,4,5,4,5,4,4,4,4,5,4,5,4,3,2,4,3,4,4,3,5,5,5,5,4,5,4,4,4,5,"ENG","United States of America",29,"29"
"30",3,42,1,1,1,3,"US",2,2,2,2,2,3,3,2,2,1,3,4,3,3,3,4,4,5,3,4,2,3,4,3,4,3,3,2,3,2,3,1,3,2,1,1,2,3,2,4,5,5,3,5,5,4,4,5,5,4,"ENG","United States of America",30,"30"
"31",3,27,1,2,1,1,"US",1,4,2,2,2,4,1,2,2,1,3,4,1,3,2,4,3,4,3,4,5,4,4,4,4,4,5,4,4,3,4,4,5,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,"ENG","United States of America",31,"31"
"32",1,17,1,1,1,1,"US",5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,"ENG","United States of America",32,"32"
"33",8,17,1,2,1,5,"US",4,4,3,3,3,4,5,3,5,1,1,2,1,4,1,1,1,3,1,4,4,5,4,4,4,5,4,5,3,3,4,5,4,1,5,4,5,5,4,3,2,4,1,5,3,5,4,4,5,2,"ENG","United States of America",33,"33"
"34",6,17,1,2,1,5,"US",2,3,2,2,2,4,2,2,3,1,3,3,2,3,2,3,2,4,2,3,3,3,4,4,3,4,3,3,3,3,4,4,5,3,2,3,4,3,2,3,3,3,4,3,4,4,4,2,4,5,"ENG","United States of America",34,"34"
"35",13,60,1,2,1,5,"US",3,5,5,5,5,5,5,5,5,5,4,2,1,1,1,2,1,2,1,1,5,5,1,5,1,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,2,5,5,"ENG","United States of America",35,"35"
"36",3,27,1,2,1,2,"CA",1,3,4,1,3,3,3,1,1,1,2,2,1,3,2,1,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,2,4,3,2,2,3,4,4,4,4,3,5,2,3,5,5,4,5,2,"ENG","Canada",36,"36"
"37",3,19,1,2,1,2,"US",4,4,4,3,5,4,5,4,5,3,1,2,2,2,2,3,3,3,3,2,5,4,4,4,4,3,5,3,5,4,5,3,3,3,4,3,5,5,5,5,5,4,4,4,5,5,4,4,4,5,"ENG","United States of America",37,"37"
"38",3,20,1,1,1,1,"US",1,1,2,1,2,3,1,2,2,1,3,4,3,3,4,4,4,4,2,3,2,3,2,2,3,2,2,3,3,3,3,3,4,4,2,3,3,3,2,4,4,3,5,3,3,4,3,3,4,3,"ENG","United States of America",38,"38"
"39",13,26,2,2,1,1,"US",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,5,4,3,5,4,4,4,3,1,2,2,1,1,1,3,1,3,2,5,4,5,5,4,5,2,5,5,4,"ENG","United States of America",39,"39"
"40",3,19,1,2,2,1,"US",1,2,2,2,1,4,1,2,2,1,1,2,1,2,4,2,1,2,3,3,4,4,3,5,4,4,4,3,4,2,4,3,5,2,2,2,5,4,4,4,4,3,4,3,3,4,4,3,4,4,"ENG","United States of America",40,"40"
"41",3,18,1,2,1,5,"GB",2,3,2,1,2,5,1,3,5,1,1,2,1,2,1,1,1,1,1,1,3,2,3,2,3,5,3,3,3,3,1,1,3,1,3,1,3,1,2,4,5,3,5,2,5,5,4,5,5,5,"ENG","United Kingdom of Great Britain and Northern Ireland",41,"41"
"42",3,14,1,2,1,1,"US",2,4,2,4,4,5,2,4,2,2,2,3,2,2,3,1,2,2,2,4,2,4,2,2,4,3,5,3,3,2,2,3,5,3,1,1,2,3,2,3,5,4,4,4,4,4,3,4,5,5,"ENG","United States of America",42,"42"
"43",3,47,1,1,1,1,"US",4,5,3,5,2,5,4,2,4,2,2,3,2,3,4,3,2,3,3,3,4,5,4,2,1,4,3,3,1,3,5,2,4,5,3,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5,"ENG","United States of America",43,"43"
"44",3,18,1,1,1,5,"US",2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,2,3,3,2,2,4,2,4,4,3,2,2,2,4,3,3,2,3,3,2,3,3,2,2,4,4,2,4,2,3,3,4,3,4,3,"ENG","United States of America",44,"44"
"45",3,14,1,3,1,1,"GB",2,4,2,4,2,5,1,4,4,2,1,3,2,2,2,3,2,3,2,3,5,4,4,3,5,4,5,2,2,2,2,2,3,2,1,1,3,1,2,3,4,4,3,4,3,4,4,4,2,2,"ENG","United Kingdom of Great Britain and Northern Ireland",45,"45"
"46",3,20,1,2,1,1,"US",1,2,2,1,1,4,1,1,1,1,1,2,1,2,2,2,4,4,2,4,5,5,5,5,5,4,5,4,5,3,4,4,2,4,2,5,4,4,4,2,5,5,5,3,4,5,5,4,5,4,"ENG","United States of America",46,"46"
"47",5,35,1,2,2,1,"US",4,5,5,3,5,5,1,5,4,5,1,2,1,4,2,1,4,4,2,4,5,5,5,5,5,5,5,3,5,5,2,5,5,2,1,5,5,4,5,3,5,5,5,2,5,5,5,5,2,5,"ENG","United States of America",47,"47"
"48",3,34,1,2,1,1,"US",4,5,4,4,5,4,5,4,4,4,4,3,2,2,4,3,2,4,4,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,3,4,4,5,3,4,3,3,5,3,"ENG","United States of America",48,"48"
"49",3,15,1,1,1,1,"US",3,3,3,1,2,3,3,2,4,2,2,4,2,2,3,2,2,2,2,2,3,4,2,4,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,3,4,1,5,3,3,4,2,4,4,4,"ENG","United States of America",49,"49"
"50",3,20,1,1,1,1,"US",4,3,4,4,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,4,4,1,5,4,1,1,4,3,3,4,5,5,3,5,4,3,4,3,5,4,"ENG","United States of America",50,"50"
"51",3,54,1,2,1,1,"CA",2,3,4,3,2,4,2,2,2,2,3,4,3,5,5,5,5,5,4,5,4,3,5,3,3,4,3,4,3,5,4,4,5,5,5,1,4,5,4,5,3,3,5,4,5,5,4,2,4,5,"ENG","Canada",51,"51"
"52",3,47,2,1,1,5,"US",2,2,5,4,4,2,4,4,2,3,3,3,2,2,2,4,2,5,4,4,2,4,5,5,5,5,4,5,4,4,2,4,3,2,2,2,3,4,2,3,3,4,4,4,5,4,5,2,5,4,"ENG","United States of America",52,"52"
"53",11,45,2,1,1,1,"US",4,2,4,4,3,4,4,2,5,3,4,4,2,4,5,4,5,5,4,4,5,3,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1,5,3,"ENG","United States of America",53,"53"
"54",3,32,1,2,1,2,"US",2,4,5,4,4,3,2,1,1,4,1,1,1,2,2,2,1,1,2,2,5,4,3,4,5,4,4,5,4,2,4,5,5,5,4,1,5,3,5,5,4,2,2,4,3,4,4,4,2,2,"ENG","United States of America",54,"54"
"55",11,23,1,2,1,1,"US",4,5,4,4,4,5,2,4,5,2,2,2,1,5,5,4,4,5,5,5,4,5,5,5,4,4,5,3,4,5,3,3,4,4,2,3,3,4,3,4,3,4,4,4,4,5,4,3,2,4,"ENG","United States of America",55,"55"
"56",3,14,1,2,1,1,"US",1,4,2,1,4,5,1,4,2,1,1,1,1,1,1,1,1,3,1,1,5,3,5,5,4,5,4,4,4,3,4,3,3,2,3,2,5,4,5,4,4,4,5,4,2,5,4,5,4,5,"ENG","United States of America",56,"56"
"57",3,19,1,1,1,1,"IE",5,4,2,3,2,4,5,1,3,1,2,5,1,2,2,3,3,4,3,3,3,4,3,5,4,4,5,4,4,3,3,1,3,3,1,1,4,2,2,2,4,5,5,5,4,5,5,4,5,4,"ENG","Ireland",57,"57"
"58",3,15,1,2,1,1,"NZ",1,2,2,2,3,1,3,1,2,1,1,3,1,3,4,1,1,1,2,5,4,5,5,5,5,3,5,4,4,3,3,1,3,1,1,1,3,3,3,4,2,3,4,4,4,3,3,3,5,3,"ENG","New Zealand",58,"58"
"59",5,47,1,2,2,2,"US",1,1,2,1,1,1,1,2,2,1,1,2,3,1,4,2,3,3,4,1,4,4,5,4,4,5,5,4,4,5,3,2,5,4,1,2,4,5,3,5,3,3,5,4,5,5,5,3,5,5,"ENG","United States of America",59,"59"
"60",3,36,1,1,1,1,"US",3,4,1,3,5,4,1,1,2,1,2,3,1,3,2,3,3,3,1,3,5,5,2,4,5,4,4,5,4,3,5,4,4,4,4,5,5,5,5,5,5,2,3,4,4,3,4,5,4,4,"ENG","United States of America",60,"60"
"61",3,21,1,2,1,1,"GB",2,3,4,4,4,5,4,2,4,2,1,1,1,1,5,1,1,2,3,1,5,5,4,5,5,4,5,5,5,3,4,1,2,1,2,1,4,3,2,3,4,4,5,4,4,5,5,4,5,4,"ENG","United Kingdom of Great Britain and Northern Ireland",61,"61"
"62",3,13,1,1,1,1,"GB",3,2,3,3,3,1,2,1,3,2,1,4,1,1,2,1,1,1,1,1,4,2,2,3,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,3,4,5,4,5,2,4,4,4,5,3,"ENG","United Kingdom of Great Britain and Northern Ireland",62,"62"
"63",13,21,2,2,1,5,"US",3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,4,5,4,4,4,4,3,5,4,5,4,5,5,3,3,3,2,4,4,3,4,3,4,2,3,4,"ENG","United States of America",63,"63"
"64",3,33,1,2,1,1,"US",4,5,5,4,5,5,5,5,5,4,3,4,2,3,4,3,4,3,3,4,5,5,5,5,5,4,5,1,5,5,3,4,4,4,4,5,4,5,4,3,4,4,5,4,5,5,5,4,4,5,"ENG","United States of America",64,"64"
"65",3,33,1,1,1,1,"US",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,"ENG","United States of America",65,"65"
"66",3,16,1,1,1,1,"GB",2,4,2,3,2,4,5,3,3,1,3,3,2,1,4,2,3,3,2,1,2,3,2,4,3,4,2,3,3,2,2,4,3,2,3,3,4,2,3,3,5,4,5,4,2,5,4,3,4,3,"ENG","United Kingdom of Great Britain and Northern Ireland",66,"66"
"67",3,17,1,1,1,1,"US",1,1,1,1,1,2,1,1,3,1,2,3,1,1,2,3,5,5,5,5,5,5,5,5,5,3,5,5,4,4,1,2,5,5,1,1,1,3,1,3,5,5,5,5,5,5,4,5,5,5,"ENG","United States of America",67,"67"
"68",3,26,1,2,1,5,"GB",2,3,3,3,3,4,2,3,2,1,3,3,3,3,3,3,3,4,3,4,5,4,4,5,5,4,4,3,4,4,3,4,4,3,4,4,5,3,4,4,5,4,2,4,2,2,4,4,4,2,"ENG","United Kingdom of Great Britain and Northern Ireland",68,"68"
"69",3,26,2,2,1,2,"US",5,3,5,4,3,5,5,4,4,2,5,5,5,5,1,5,4,4,1,5,2,5,5,2,2,4,4,5,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,5,3,4,4,"ENG","United States of America",69,"69"
"70",1,21,1,2,1,1,"US",4,5,5,5,5,5,5,1,3,1,3,4,3,3,4,2,2,4,2,4,4,5,3,5,5,3,5,5,5,4,3,1,4,2,1,2,3,4,3,4,4,5,5,5,5,5,5,4,5,5,"ENG","United States of America",70,"70"
"71",3,18,1,2,1,1,"US",3,3,4,2,5,4,5,2,3,2,2,3,2,2,4,3,3,4,4,3,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,3,4,4,4,4,3,5,5,5,5,5,5,3,5,5,"ENG","United States of America",71,"71"
"72",3,32,1,2,1,4,"US",1,3,2,2,1,5,1,2,3,2,2,3,2,3,2,2,2,2,2,4,3,3,4,4,5,5,5,4,4,3,4,3,3,2,1,2,1,4,4,2,2,3,3,3,4,2,4,2,3,2,"ENG","United States of America",72,"72"
"73",3,60,1,2,1,1,"US",1,2,5,3,5,3,3,1,1,2,2,3,2,1,1,2,4,4,2,4,5,5,5,5,5,4,5,5,5,5,2,2,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"ENG","United States of America",73,"73"
"74",3,22,1,2,1,1,"IE",1,3,2,2,3,4,1,2,2,2,1,2,1,1,2,1,2,2,3,2,5,4,2,4,5,5,4,4,5,5,2,2,4,3,1,1,3,3,2,3,5,3,5,3,3,5,5,5,4,3,"ENG","Ireland",74,"74"
"75",1,47,1,2,1,2,"US",3,4,3,3,3,3,2,4,2,3,4,3,3,3,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,4,2,4,3,4,3,4,3,4,3,3,3,4,4,4,5,5,4,2,3,4,"ENG","United States of America",75,"75"
"76",3,15,1,2,1,1,"US",2,5,2,4,3,4,2,1,2,2,1,4,2,2,1,4,2,2,1,3,4,3,1,3,4,3,4,3,3,3,4,1,4,2,1,2,2,2,4,3,3,4,3,3,2,3,5,4,4,3,"ENG","United States of America",76,"76"
"77",13,17,1,2,1,1,"US",1,3,3,1,3,1,1,1,1,1,2,5,1,1,4,3,1,2,2,2,2,2,5,2,2,4,3,2,2,3,3,1,4,5,1,5,3,3,1,2,1,5,3,1,1,1,3,1,5,1,"ENG","United States of America",77,"77"
"78",13,13,1,2,3,1,"US",5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,"ENG","United States of America",78,"78"
"79",3,30,1,2,1,1,"US",5,4,5,5,5,5,5,5,5,4,3,4,3,4,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,2,3,2,3,1,2,5,3,2,3,4,4,5,5,5,4,3,4,5,"ENG","United States of America",79,"79"
"80",3,17,1,2,1,1,"US",3,5,4,5,5,5,3,5,5,4,2,2,1,2,4,4,2,4,1,4,4,5,1,4,5,5,4,5,4,4,1,1,4,2,1,1,3,2,4,4,3,4,5,5,5,5,4,2,5,5,"ENG","United States of America",80,"80"
"81",6,20,1,2,1,2,"US",2,3,3,2,3,3,2,2,2,2,2,3,2,3,4,3,3,3,2,3,5,4,4,4,5,4,4,4,5,4,4,4,3,3,3,3,3,4,4,3,3,4,4,4,3,4,3,2,4,3,"ENG","United States of America",81,"81"
"82",3,25,1,1,1,1,"US",2,4,2,2,4,4,1,4,4,1,2,3,1,2,5,2,4,2,2,2,4,4,4,4,4,2,4,2,4,2,4,4,4,2,1,4,4,4,4,3,5,5,5,5,4,5,4,5,5,4,"ENG","United States of America",82,"82"
"83",3,25,1,2,1,1,"US",1,2,2,1,2,2,1,1,2,2,2,3,2,1,3,4,3,4,4,2,4,4,5,4,3,2,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,3,"ENG","United States of America",83,"83"
"84",3,21,1,2,1,2,"US",3,4,3,4,4,3,2,2,2,2,2,2,2,4,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,3,4,2,4,4,4,4,4,5,4,3,3,3,4,2,2,3,4,2,3,2,"ENG","United States of America",84,"84"
"85",3,59,1,1,1,1,"IE",1,2,4,4,4,4,3,4,4,4,5,4,4,5,4,4,5,5,3,5,5,4,5,4,5,5,5,4,4,3,3,5,2,5,3,4,3,3,4,4,5,3,5,5,5,5,3,5,4,5,"ENG","Ireland",85,"85"
"86",3,30,1,2,1,2,"US",4,4,5,4,4,5,4,5,4,4,4,3,4,5,4,4,5,4,5,5,4,5,5,4,5,3,5,4,3,4,4,4,5,5,4,5,3,5,3,4,5,5,5,5,5,5,5,5,4,5,"ENG","United States of America",86,"86"
"87",3,37,1,2,1,1,"US",5,5,5,5,5,5,3,2,5,5,5,1,3,4,1,1,1,2,1,5,3,3,3,2,1,1,1,2,2,5,1,2,1,2,2,1,2,5,3,5,4,2,1,2,5,1,5,4,5,5,"ENG","United States of America",87,"87"
"88",11,27,2,2,1,1,"NZ",2,2,3,2,3,2,2,3,2,3,1,3,1,2,4,3,2,2,2,1,4,4,4,4,4,4,4,5,4,4,3,2,3,2,3,4,3,4,3,4,4,4,4,4,3,5,3,3,4,4,"ENG","New Zealand",88,"88"
"89",6,41,1,2,2,2,"US",2,3,3,2,2,3,2,1,1,1,2,2,2,3,4,2,2,2,2,4,5,4,4,4,4,4,3,4,4,3,5,5,5,5,3,5,5,5,5,5,3,3,3,2,4,3,4,3,4,3,"ENG","United States of America",89,"89"
"90",3,18,1,1,1,1,"GB",4,4,5,4,3,3,4,4,5,2,3,4,3,2,1,5,3,5,2,4,2,3,1,2,2,2,3,3,3,5,3,2,4,3,2,2,2,3,2,3,3,4,5,4,3,5,4,4,4,5,"ENG","United Kingdom of Great Britain and Northern Ireland",90,"90"
"91",3,21,1,2,1,1,"US",3,4,3,4,4,4,4,4,4,3,1,2,1,2,3,2,2,2,2,4,4,4,3,5,4,4,4,4,4,4,2,2,4,1,2,2,3,3,2,3,3,4,4,4,4,4,3,4,4,4,"ENG","United States of America",91,"91"
"92",6,15,1,2,1,1,"US",5,3,5,2,3,4,3,1,1,5,3,5,1,2,3,5,3,4,3,5,5,3,5,5,5,5,4,5,5,5,4,2,5,4,3,5,5,3,5,5,4,5,4,4,4,5,5,4,3,4,"ENG","United States of America",92,"92"
"93",3,20,1,1,2,1,"GB",4,5,5,4,5,5,4,3,3,4,5,4,2,3,2,5,4,5,4,4,4,5,3,5,3,3,5,4,4,4,3,4,4,2,3,4,3,4,2,3,4,4,4,4,5,5,4,4,5,4,"ENG","United Kingdom of Great Britain and Northern Ireland",93,"93"
"94",13,35,1,1,1,1,"US",5,5,5,5,5,5,5,2,4,5,5,5,1,5,3,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,4,4,3,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,"ENG","United States of America",94,"94"
"95",3,24,1,2,1,1,"GB",2,4,2,2,3,4,3,2,1,3,2,2,2,2,4,3,3,3,2,2,4,3,3,3,3,3,3,2,3,2,1,2,3,2,1,2,2,2,1,3,4,4,4,3,3,5,3,3,4,3,"ENG","United Kingdom of Great Britain and Northern Ireland",95,"95"
"96",3,33,1,2,1,1,"US",5,5,4,5,5,4,5,2,4,4,1,2,2,3,2,2,1,2,2,2,5,5,5,5,5,4,5,4,4,2,1,3,3,3,4,4,5,5,4,2,5,5,3,5,4,4,4,4,5,4,"ENG","United States of America",96,"96"
"97",3,59,1,2,1,1,"US",1,4,4,2,4,4,3,1,3,3,4,4,5,4,4,4,3,5,4,5,5,4,3,4,4,5,4,5,4,4,4,4,4,5,4,4,4,5,2,4,4,3,3,4,4,3,4,4,4,3,"ENG","United States of America",97,"97"
"98",3,19,1,2,2,1,"CA",5,4,5,5,5,5,3,5,5,5,2,3,1,2,4,4,4,4,1,5,5,3,4,3,3,4,4,5,4,4,2,2,4,2,2,4,3,3,3,3,5,4,5,3,3,5,3,4,5,4,"ENG","Canada",98,"98"
"99",3,24,2,2,1,1,"CA",3,5,4,3,4,5,2,3,1,1,3,5,3,1,5,4,5,5,2,5,5,3,4,5,2,5,4,5,5,5,5,1,5,5,3,2,4,3,5,5,2,2,5,3,5,5,5,1,5,4,"ENG","Canada",99,"99"
"100",3,31,1,2,1,2,"US",5,5,5,5,5,5,5,5,5,5,2,3,2,2,1,2,2,2,2,2,4,5,3,5,5,5,5,4,4,5,3,1,3,3,1,1,3,5,3,3,3,4,5,4,3,5,5,3,2,5,"ENG","United States of America",100,"100"
